title,studio,domestic_gross,foreign_gross,year,title_lower,tconst,primary_title,original_title,start_year,runtime_minutes,genres,primary_title_lower,averagerating,numvotes
I am Not Your Negro,Magn.,7100000.0,,2017,i am not your negro,tt5804038,I Am Not Your Negro,I Am Not Your Negro,2016,93.0,Documentary,i am not your negro,7.8,13948
The Red Turtle,SPC,922000.0,5700000,2017,the red turtle,tt3666024,The Red Turtle,La tortue rouge,2016,80.0,"Animation,Fantasy",the red turtle,7.5,25061
From the Land of the Moon,IFC,47700.0,6500000,2017,from the land of the moon,tt3794028,From the Land of the Moon,Mal de pierres,2016,120.0,"Drama,Romance",from the land of the moon,6.7,4523
Maudie,SPC,6200000.0,,2017,maudie,tt3721954,Maudie,Maudie,2016,115.0,"Biography,Drama,Romance",maudie,7.6,11427
All Saints,Affirm,5800000.0,140000,2017,all saints,tt4663548,All Saints,All Saints,2017,108.0,Drama,all saints,6.0,1220
The Florida Project,A24,5900000.0,,2017,the florida project,tt5649144,The Florida Project,The Florida Project,2017,111.0,Drama,the florida project,7.6,72193
Suburbicon,Par.,5800000.0,,2017,suburbicon,tt0491175,Suburbicon,Suburbicon,2017,105.0,"Comedy,Crime,Drama",suburbicon,5.6,31294
The Man Who Invented Christmas,BST,5700000.0,,2017,the man who invented christmas,tt6225520,The Man Who Invented Christmas,The Man Who Invented Christmas,2017,104.0,"Biography,Comedy,Drama",the man who invented christmas,7.0,9430
Paris Can Wait,SPC,5600000.0,,2017,paris can wait,tt4429194,Paris Can Wait,Bonjour Anne,2016,92.0,"Comedy,Drama,Romance",paris can wait,5.8,6416
Phillauri,FIP,468000.0,5000000,2017,phillauri,tt5502766,Phillauri,Phillauri,2017,138.0,"Comedy,Drama,Fantasy",phillauri,6.1,3090
Ok Jaanu,FIP,356000.0,5000000,2017,ok jaanu,tt5764024,OK Jaanu,OK Jaanu,2017,135.0,"Drama,Romance",ok jaanu,5.2,3240
An Inconvenient Sequel: Truth to Power,Par.,3500000.0,1900000,2017,an inconvenient sequel: truth to power,tt6322922,An Inconvenient Sequel: Truth to Power,An Inconvenient Sequel: Truth to Power,2017,98.0,Documentary,an inconvenient sequel: truth to power,6.3,6752
Table 19,FoxS,3600000.0,1400000,2017,table 19,tt1412528,Table 19,Table 19,2017,87.0,"Comedy,Drama,Romance",table 19,5.8,22751
Collide,ORF,2300000.0,2500000,2017,collide,tt1230120,Collide,Collide,2010,,Action,collide,5.5,12
Collide,ORF,2300000.0,2500000,2017,collide,tt2126235,Collide,Collide,2016,99.0,"Action,Crime,Thriller",collide,5.7,13288
The Wall,RAtt.,1800000.0,2700000,2017,the wall,tt1455256,The Wall,The Wall,2010,78.0,Documentary,the wall,9.2,8
The Wall,RAtt.,1800000.0,2700000,2017,the wall,tt1745686,The Wall,Die Wand,2012,108.0,"Drama,Fantasy,Mystery",the wall,6.8,5484
The Wall,RAtt.,1800000.0,2700000,2017,the wall,tt4218696,The Wall,The Wall,2017,88.0,"Action,Drama,Thriller",the wall,6.2,20391
The Wall,RAtt.,1800000.0,2700000,2017,the wall,tt6060874,The Wall,The Wall,2016,73.0,Drama,the wall,6.7,12
Mark Felt: The Man Who Brought Down the White House,SPC,769000.0,3600000,2017,mark felt: the man who brought down the white house,tt5175450,Mark Felt: The Man Who Brought Down the White House,Mark Felt: The Man Who Brought Down the White House,2017,103.0,"Biography,Drama,History",mark felt: the man who brought down the white house,6.4,9324
Brad's Status,Annapurna,2100000.0,1700000,2017,brad's status,tt5884230,Brad's Status,Brad's Status,2017,102.0,"Comedy,Drama,Music",brad's status,6.5,13259
Friend Request,ENTMP,3800000.0,,2017,friend request,tt2277308,Friend Request,Friend Request,2013,91.0,Thriller,friend request,4.0,116
Friend Request,ENTMP,3800000.0,,2017,friend request,tt3352390,Friend Request,Friend Request,2016,92.0,"Horror,Thriller",friend request,5.3,21704
Friend Request,ENTMP,3800000.0,,2017,friend request,tt4859526,Friend Request,Friend Request,2015,106.0,Horror,friend request,4.9,14
Their Finest,STX,3600000.0,,2017,their finest,tt1661275,Their Finest,Their Finest,2016,117.0,"Comedy,Drama,Romance",their finest,6.8,15099
Wonderstruck,RAtt.,1100000.0,2200000,2017,wonderstruck,tt5208216,Wonderstruck,Wonderstruck,2017,116.0,"Drama,Mystery",wonderstruck,6.2,8167
The Leisure Seeker,SPC,3200000.0,,2017,the leisure seeker,tt3741632,The Leisure Seeker,The Leisure Seeker,2017,112.0,"Adventure,Comedy,Drama",the leisure seeker,6.7,5337
Colossal,Neon,3000000.0,,2017,colossal,tt4680182,Colossal,Colossal,2016,109.0,"Comedy,Drama,Fantasy",colossal,6.2,50856
A Gentleman,FIP,410000.0,2500000,2017,a gentleman,tt5613834,A Gentleman,A Gentleman,2017,145.0,"Action,Comedy",a gentleman,6.3,4188
Kedi,Osci.,2800000.0,,2017,kedi,tt1582524,Kedi,Kedi,2010,153.0,Action,kedi,4.9,222
Kedi,Osci.,2800000.0,,2017,kedi,tt4420704,Kedi,Kedi,2016,79.0,Documentary,kedi,7.7,10925
The Only Living Boy in New York,RAtt.,624000.0,1900000,2017,the only living boy in new york,tt0460890,The Only Living Boy in New York,The Only Living Boy in New York,2017,89.0,Drama,the only living boy in new york,6.3,8727
Poster Boys,Sony,97000.0,2400000,2017,poster boys,tt6352548,Poster Boys,Poster Boys,2017,128.0,Comedy,poster boys,5.6,1234
The Salesman,Cohen,2400000.0,,2017,the salesman,tt1787747,The Salesman,Le vendeur,2011,107.0,Drama,the salesman,7.0,558
The Salesman,Cohen,2400000.0,,2017,the salesman,tt5186714,The Salesman,Forushande,2016,124.0,"Drama,Thriller",the salesman,7.8,41497
Un Padre No Tan Padre,PNT,2200000.0,,2017,un padre no tan padre,tt4958468,Un Padre No Tan Padre,Un Padre No Tan Padre,2016,94.0,Comedy,un padre no tan padre,6.9,976
Good Time,A24,2000000.0,,2017,good time,tt4846232,Good Time,Good Time,2017,101.0,"Crime,Drama,Thriller",good time,7.3,52305
Everybody Loves Somebody,PNT,1900000.0,,2017,everybody loves somebody,tt5537228,Everybody Loves Somebody,Todos queremos a alguien,2017,102.0,"Comedy,Romance",everybody loves somebody,6.5,3468
Along with the Gods: The Two Worlds,WGUSA,1900000.0,,2017,along with the gods: the two worlds,tt7160070,Along with the Gods: The Two Worlds,Sin-gwa ham-kke: Jwi-wa beol,2017,139.0,"Action,Drama,Fantasy",along with the gods: the two worlds,7.3,9190
Last Flag Flying,LGF,965000.0,904000,2017,last flag flying,tt6018306,Last Flag Flying,Last Flag Flying,2017,125.0,"Comedy,Drama,War",last flag flying,6.9,18927
